"Author,Title",Date,Places,Hits,https://topostext.org/texts
"Lucian, Zeuxis or Antiochus",180.0,8.0,10.0,
"Lucretius, On the Nature of Things",-55.0,54.0,89.0,
"Lycophron, Alexandra",-50.0,240.0,307.0,
"Lycurgus, Against Leokrates",-329.0,48.0,125.0,
"Lysias 1, On the Murder of Eratosthenes",-400.0,3.0,3.0,
"Lysias 10, Against Theomnestus 1",-384.0,2.0,3.0,
"Lysias 11, Against Theomnestus 2",-383.0,1.0,1.0,
"Lysias 12, Against Eratosthenes",-403.0,15.0,33.0,
"Lysias 13, Against Agoratus",-399.0,19.0,67.0,
"Lysias 14, Against Alcibiades 1",-395.0,9.0,12.0,
"Lysias 15, Against Alcibiades 2",-395.0,0.0,0.0,
"Lysias 16, In Defense of Mantitheus",-390.0,10.0,12.0,
"Lysias 17, On The Property Of Eraton",-396.0,1.0,2.0,
"Lysias 18, On the Property of Nicias",-395.0,5.0,8.0,
"Lysias 19, On the Property of Aristophanes",-388.0,15.0,26.0,
"Lysias 2, Funeral Oration",-390.0,25.0,56.0,
"Lysias 20, For Polystratus",-410.0,7.0,10.0,
"Lysias 21, Defence Against A Charge Of Taking Bribes",-402.0,4.0,4.0,
"Lysias 22, Against the Corn-Dealers",-386.0,2.0,2.0,
"Lysias 23, Against Pancleon",-400.0,5.0,16.0,
"Lysias 24, On the Refusal of a Pension",-402.0,4.0,4.0,
"Lysias 25, Defense Against a Charge of Subverting the Democracy",-400.0,3.0,6.0,
"Lysias 26, On the Scrutiny of Evandros",-382.0,6.0,9.0,
"Lysias 27, Against Epicrates and his Fellow-envoys",-390.0,0.0,0.0,
"Lysias 28, Against Ergocles",-388.0,4.0,13.0,
"Lysias 29, Against Philocrates",-388.0,2.0,2.0,
"Lysias 3, Against Simon",-393.0,5.0,6.0,
"Lysias 30, Against Nicomachus",-399.0,3.0,3.0,
